Андрій,m,Andriy
Борис,m,Borys
Василь,m,Vasyl
Віктор,m,Viktor
Володимир,m,Volodymyr
Дмитро,m,Dmytro
Іван,m,Ivan
Ігор,m,Ihor
Кирило,m,Kyrylo
Костянтин,m,Kostyantyn
Леонід,m,Leonid
Максим,m,Maksym
Микола,m,Mykola
Михайло,m,Mykhaylo
Олександр,m,Oleksandr
Олексій,m,Oleksiy
Павло,m,Pavlo
Петро,m,Petro
Рoмaн,m,Roman
Рycлан,m,Ruslan
Сергій,m,Serhiy
Станіслав,m,Stanislav
Юрій,m,Yuri
Анастасія (,f,Anastasiya
Василина,f,Vasylyna
Віра,f,Vira
Ганна,f,Hanna
Катерина,f,Kateryna
Любов,f,Lyubov
Марія,f,Mariya
Михайлина,f,Mikhaylyna
Надія,f,Nadiya
Наталія,f,Nataliya
Оксана,f,Oksana
Олександра,f,Oleksandra
Олена,f,Olena
Ольга,f,Olha
Рoмaна,f,Romana
Рycлана,f,Ruslana
Світлана,f,Svitlana
Софія,f,Sofiya
Тетяна,f,Tetyana
Юлія,f,Yulia
Сніжана,f,Snizhana
Зоряна,f,Zoryana
Мирослава,f,Myroslava
Ярослава,f,Yaroslava
Святослава,f,Svyatoslava
